TreeGenusType;Pinus;Pinus
TreeGenusType;Platanus;Platanus
TreeGenusType;Populus;Populus
TreeGenusType;Prosopis;Prosopis
TreeGenusType;Prunus;Prunus
TreeGenusType;Pseudotsuga;Pseudotsuga
TreeGenusType;Purshia;Purshia
TreeGenusType;Quercus;Quercus
TreeGenusType;Rhamnus;Rhamnus
TreeGenusType;Rhododendron;Rhododendron
TreeGenusType;Rhus;Rhus
TreeGenusType;Robinia;Robinia
TreeGenusType;Sabal;Sabal
TreeGenusType;Salix;Salix
TreeGenusType;Sambucus;Sambucus
TreeGenusType;Sapindus;Sapindus
TreeGenusType;Sassafras;Sassafras
TreeGenusType;Schefflera;Schefflera
TreeGenusType;Schinus;Schinus
TreeGenusType;Sequoiadendron;Sequoiadendron
TreeGenusType;Sequoia;Sequoia
TreeGenusType;Serenoa;Serenoa
TreeGenusType;Shepherdia;Shepherdia
TreeGenusType;Sophora;Sophora
TreeGenusType;Sorbus;Sorbus
TreeGenusType;Spartium;Spartium
TreeGenusType;Tamarix;Tamarix
TreeGenusType;Taxus;Taxus
TreeGenusType;Taxodium;Taxodium
TreeGenusType;Thuja;Thuja
TreeGenusType;Tilia;Tilia
TreeGenusType;Torreya;Torreya
TreeGenusType;Triadica;Triadica
TreeGenusType;Tsuga;Tsuga
TreeGenusType;Ulmus;Ulmus
TreeGenusType;Umbellularia;Umbellularia
TreeGenusType;Ungnadia;Ungnadia
TreeGenusType;Vaccinium;Vaccinium
TreeGenusType;Washingtonia;Washingtonia
TreeGenusType;Yucca;Yucca
TreeGenusType;Other;Other
TreeGenusType;Unknown;Unknown
TreeSpeciesType;Other;Other
TreeSpeciesType;Unknown;Unknown
ZoningType;Open Space;Open Space
ZoningType;Residential Farm;Agricultural Dwellings
ZoningType;Residential Single;Single-Family Residential Dwellings
ZoningType;Residential Multi;Multi-Family Residential Dwellings
ZoningType;Commercial;Commercial
ZoningType;Industry;Industry
ZoningType;Employment;Offices and Services
ZoningType;Protected Sites;Protected Sites
CityFabricRelationType;Aggregation;Aggregation
CityFabricRelationType;Composite;Composite
CityFabricRelationType;Alternative Representation;Alternative Representation
CityFabricRelationType;Spatial Contains;Spatial Contains
CityFabricRelationType;Spatial Crosses;Spatial Crosses
CityFabricRelationType;Spatial Disjoint;Spatial Disjoint
CityFabricRelationType;Spatial Equals;Spatial Equals
CityFabricRelationType;Spatial Intersects;Spatial Intersects
CityFabricRelationType;Spatial Overlaps;Spatial Overlaps
CityFabricRelationType;Spatial Touches;Spatial Touches
CityFabricRelationType;Spatial Within;Spatial Within
CityFabricRelationType;Other;Other
FlowDirection;Forward;Forward
FlowDirection;Backward;Backward
FlowDirection;Bidirectional;Bidirectional
RegulationOperator;min;Minimum Value
RegulationOperator;max;Maximum Value
RegulationOperator;equal;Exact Value
RegulationAspect;LotArea;Lot Area
RegulationAspect;LotDepth;Lot Depth
RegulationAspect;LotWidth;Lot Width
RegulationAspect;Setback;Setback (on all sides)
RegulationAspect;FrontSetback;Front Setback
RegulationAspect;RearSetback;Rear Setback
RegulationAspect;LeftSetback;Left Setback
RegulationAspect;RightSetback;Right Setback
RegulationAspect;FrontBaseHeight;Front Base Height
RegulationAspect;FrontSlope;Front Slope
RegulationAspect;FrontOrigin;Front Origin
RegulationAspect;RearBaseHeight;Rear Base Height
RegulationAspect;RearSlope;Rear Slope
RegulationAspect;RearOrigin;Rear Origin
RegulationAspect;LeftBaseHeight;Left Base Height
RegulationAspect;LeftSlope;Left Slope
RegulationAspect;LeftOrigin;Left Origin
RegulationAspect;RightBaseHeight;Right Base Height
RegulationAspect;RightSlope;Right Slope
RegulationAspect;RightOrigin;Right Origin
RegulationAspect;TotalHeight;Total Height
RegulationAspect;EaveHeight;Eave Height
RegulationAspect;SiteCoverage;Site Coverage
RegulationAspect;FloorAreaRatio;Floor Area Ratio
RegulationAspect;FloorHeight;Floor Height
RegulationAspect;LevelsAboveGround;Levels Above Ground
RegulationAspect;LevelsBelowGround;Levels Below Ground
